
verbatimScientificName,8712f1254ffffff,8712c0351ffffff,8712c1016ffffff,8712c1010ffffff,8712c1cc9ffffff,8712f1adaffffff,8712c11b3ffffff,8712c11b0ffffff,8712f1373ffffff,8712f1370ffffff,8712f1364ffffff,8712f1361ffffff,8712f1355ffffff,8712c306effffff,8712c4604ffffff,8712c12ccffffff,8712c10eaffffff,8712c1da0ffffff,8712c0adbffffff,8712ce933ffffff,8712c0353ffffff,8712c1012ffffff,8712c1ccbffffff,8712c1cc8ffffff,8712c0329ffffff,8712f1ad9ffffff,8712c11b5ffffff,8712c11b2ffffff,8712f1375ffffff,8712f1372ffffff,8712c1194ffffff,8712c3aabffffff,8712c4cd4ffffff,8712c3a8dffffff,8712c1ccdffffff,8712c032bffffff,8712f1adbffffff,8712c11b4ffffff,8712f1374ffffff,8712c1c88ffffff,8712c1196ffffff,8712f1356ffffff,8712c1c5bffffff
Alces alces,0.0,0.0,0.019230769230769232,0.0,0.03488372093023256,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.05555555555555555,0.0,0.23076923076923078,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alces alces andersoni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alces alces shirasi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03278688524590164,0.03571428571428571,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Bison bison bison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Callospermophilus lateralis,0.5652173913043478,0.8918918918918919,0.07692307692307693,0.06666666666666667,0.046511627906976744,0.0,0.0,0.0967741935483871,0.04,0.01639344262295082,0.0,0.2222222222222222,0.0,0.07692307692307693,0.23076923076923078,0.0,0.0,0.3157894736842105,0.2727272727272727,0.2,0.7142857142857143,0.0,0.0,0.05263157894736842,0.5,0.0,0.05263157894736842,0.2,0.02564102564102564,0.04,0.13333333333333333,0.0,0.0,0.0,0.06451612903225806,0.75,0.0,0.05,0.027777777777777776,0.72,0.6296296296296297,0.5,0.058823529411764705
Callospermophilus lateralis tescorum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.037037037037037035,0.045454545454545456,0.0
Canis latrans,0.0,0.0,0.057692307692307696,0.06666666666666667,0.13953488372093023,0.0,0.23529411764705882,0.12903225806451613,0.04,0.08196721311475409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.045454545454545456,0.05,0.0,0.2,0.0,0.05263157894736842,0.0,0.1111111111111111,0.0,0.022222222222222223,0.05128205128205128,0.0,0.022222222222222223,0.0,0.0,0.0,0.03225806451612903,0.0,0.06666666666666667,0.0,0.027777777777777776,0.0,0.0,0.0,0.0
Canis latrans lestes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canis lupus,0.0,0.0,0.0,0.0,0.046511627906976744,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.022222222222222223,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0
Canis lupus occidentalis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
