verbatimScientificName,8712f1254ffffff,8712c1425ffffff,8712c10a0ffffff,8712c3850ffffff,8712c0700ffffff,8712c0351ffffff,8712c1016ffffff,8712c1013ffffff,8712c1010ffffff,8712c1cc9ffffff,8712f1addffffff,8712f1adaffffff,8712c11b3ffffff,8712c11b0ffffff,8712c030cffffff,8712f1373ffffff,8712f1370ffffff,8712f1364ffffff,8712f1361ffffff,8712f1355ffffff,8712f1343ffffff,8712c306effffff,8712c1c5affffff,8712c150bffffff,8712c4604ffffff,8712c12ccffffff,8712c10eaffffff,8712c0068ffffff,8712c3ad6ffffff,8712c1da0ffffff,8712c0241ffffff,8712c0adbffffff,8712c0374ffffff,8712ce933ffffff,8712c0353ffffff,8712c1012ffffff,8712c1ccbffffff,8712c1cc8ffffff,8712c0329ffffff,8712f1ad9ffffff,8712c11b5ffffff,8712c11b2ffffff,8712f1375ffffff,8712f1372ffffff,8712c1c8cffffff,8712c1194ffffff,8712c1c59ffffff,8712c4606ffffff,8712c0b94ffffff,8712c12ebffffff,8712c3aaeffffff,8712c3aabffffff,8712c4cd4ffffff,8712c3a8dffffff,8712e2711ffffff,8712c1ccdffffff,8712c032bffffff,8712f1adbffffff,8712c11b4ffffff,8712c0319ffffff,8712f1374ffffff,8712c1c88ffffff,8712c1196ffffff,8712f1356ffffff,8712c1c5bffffff,8712c4d99ffffff,8712c1c58ffffff
Alces alces,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.012987012987012988,0.0,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.02247191011235955,0.0,0.06060606060606061,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.07407407407407407,0.06666666666666667,0.0,0.02631578947368421,0.0,0.024390243902439025,0.15,0.0,0.0,0.0,0.041666666666666664,0.0,0.016129032258064516,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.29411764705882354,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
Alces alces andersoni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alces alces shirasi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.02247191011235955,0.027777777777777776,0.030303030303030304,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20588235294117646,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
Bison bison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bison bison bison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Callospermophilus lateralis,0.5142857142857142,0.0,0.5333333333333333,0.11764705882352941,0.0,0.7884615384615384,0.06493506493506493,0.0,0.047619047619047616,0.046875,0.0,0.0,0.0,0.10204081632653061,0.6363636363636364,0.07692307692307693,0.02247191011235955,0.0,0.15151515151515152,0.0,0.625,0.18181818181818182,0.4375,0.0,0.25,0.0,0.0,0.26666666666666666,0.0,0.2631578947368421,0.4,0.1951219512195122,0.25,0.20689655172413793,0.7,0.0,0.0,0.02702702702702703,0.5645161290322581,0.0,0.038461538461538464,0.17391304347826086,0.037037037037037035,0.02564102564102564,0.9444444444444444,0.11764705882352941,0.5454545454545454,0.6111111111111112,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.7446808510638298,0.0,0.030303030303030304,0.14285714285714285,0.01818181818181818,0.8,0.6976744186046512,0.5714285714285714,0.03333333333333333,0.0,0.5909090909090909
Callospermophilus lateralis tescorum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.02857142857142857,0.0,0.0,0.0
Canis familiaris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canis latrans,0.0,0.0,0.0,0.058823529411764705,0.5,0.0,0.05194805194805195,0.0,0.047619047619047616,0.1640625,0.041666666666666664,0.029411764705882353,0.21739130434782608,0.08163265306122448,0.0,0.05128205128205128,0.06741573033707865,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0625,0.02631578947368421,0.0,0.07317073170731707,0.0,0.034482758620689655,0.0,0.14814814814814814,0.0,0.08108108108108109,0.0,0.08823529411764706,0.0,0.043478260869565216,0.037037037037037035,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.02,0.0,0.041666666666666664,0.030303030303030304,0.0,0.01818181818181818,0.0,0.0,0.0,0.03333333333333333,0.0,0.0
Canis latrans lestes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
